,Estandar
1277,Samsung S22
1278,Samsung A32
1279,Samsung S21 Ultra
1280,Samsung S10E
1281,Samsung A32
1282,Samsung A04
1283,Samsung Note 20
1284,Samsung A12
1285,Samsung A03
1286,Samsung A22
1287,Samsung A20S
1288,Samsung A70
1289,Samsung S22 Plus
1290,Samsung A13
1291,Samsung A32
1292,Samsung A12
1293,Samsung A53
1294,Samsung A20S
1295,Samsung A22
1296,Samsung A52S
1297,Samsung Note 10 Lite
1298,Samsung S20 Fe
1299,Samsung A04
1300,Samsung Z Fold 3
1301,Iphone 7
1302,Samsung A01
1303,Samsung A02S
1304,Samsung A73
1305,Samsung S21
